match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
0, 1800661, -7775, -92, -13, 2, -2, 0
1, 1800604, -10023, -51, -8, -5, 0, 0
2, 1800636, -1638, 47, -7, -18, 0, 0
3, 1800745, 2159, 76, -10, -22, 2, 0
4, 1800563, 2170, -30, 8, 17, -1, 0
5, 1800613, -2711, -59, -1, -3, 0, 0
6, 1800810, -1509, -13, 2, 13, 2, 0
7, 1800612, 6594, 16, 9, 32, 2, 1
8, 1800650, 595, 83, 3, -24, 0, 1
9, 1800659, 845, -155, 3, 9, 1, 0
10, 1800815, 5796, 110, 3, 2, 1, 0
11, 1800552, 1239, -18, -4, -3, 1, 0
12, 1800741, 1706, -20, -1, -7, -1, 1
13, 1800733, 8269, 49, 3, -7, 3, 1
14, 1800701, 10571, 71, 12, 3, 3, 1
15, 1800625, 5738, -19, 4, 20, 1, 1
16, 1800661, -6166, -48, -12, -13, 2, 1
17, 1800670, -3684, 97, -8, -27, 1, 0
18, 1800645, 6091, 43, 1, 14, 0, 1
19, 1800590, 4073, 70, 1, 17, 3, 0
20, 1800727, -4086, 49, 2, -4, 0, 0
21, 1800738, 8292, 27, 11, 9, -3, 1
22, 1800651, 242, 20, 2, 6, 3, 1
23, 1800741, -795, 99, 0, 3, 0, 1
24, 1800829, 2318, -31, 8, 1, 1, 0
25, 1800627, 11424, 74, 8, 12, 1, 1
26, 1800662, -3444, -109, 0, 4, 1, 0
27, 1800791, 7559, 4, 14, 19, 3, 1
28, 1800650, -2361, -1, -2, 17, -1, 0
29, 1800544, -6794, 70, -6, -15, 1, 0
30, 1800605, 1092, 44, -1, 9, 3, 1
31, 1800588, 2645, 1, 3, 6, 0, 1
32, 1800623, 1883, -4, -3, -1, 1, 1
33, 1800610, -8543, -61, -12, -17, -3, 0
34, 1800801, 3293, 99, 1, -5, 1, 1
35, 1800665, 1546, 130, 8, 2, 0, 0
36, 1800585, 7377, 53, 6, 25, 1, 1
37, 1800620, 8636, 54, 0, 8, 1, 1
38, 1800811, 2547, 59, 1, 1, 0, 1
39, 1800803, -2297, -3, -4, 1, 1, 1
40, 1800662, 2006, 37, 4, 4, 1, 1
41, 1800651, -6750, -112, -1, -4, -1, 0
42, 1800634, 5514, -27, -2, -6, 4, 1
43, 1800518, 843, -39, 4, 1, 3, 1
44, 1800479, -348, 69, -7, -16, 1, 0
45, 1800545, 2753, -56, 18, 32, -1, 1
46, 1800635, 12663, 103, 17, 18, 2, 1
47, 1800693, -3415, 87, -13, -45, -1, 0
48, 1800661, 7177, -51, 10, 34, 1, 1
49, 1800690, 363, -48, 5, 40, 3, 1
50, 1800614, 1226, -72, 1, 8, 0, 0
51, 1800714, 2846, -150, 11, 24, 1, 1
52, 1800596, 3863, 57, -3, 1, 3, 1
53, 1800540, -11748, -8, -12, -19, 1, 0
54, 1800788, -1518, -4, 7, -11, 0, 0
55, 1800614, 8198, -3, 8, 10, 1, 1
56, 1800726, 11366, -24, 14, 12, 3, 1
57, 1800721, 5088, 121, -1, -7, -1, 1
58, 1800659, -1170, 5, 1, -20, -1, 0
59, 1800626, 9999, 97, 0, -9, 1, 1
60, 1800660, -9766, -25, -10, -20, -2, 0
61, 1800607, 1507, 88, -2, 12, 0, 1
62, 1800634, 10007, 40, 11, 22, 0, 1
63, 1800608, 738, 15, 4, 23, 0, 1
64, 1800595, -12774, -48, -5, -9, -4, 0
65, 1800578, 3270, 26, 7, 18, -1, 1
66, 1800965, 814, -55, 2, -7, 1, 1
67, 1800756, -12953, -14, -11, -12, -3, 0
68, 1800731, 4383, -19, 18, 20, 1, 1
69, 1800631, -8853, -75, -9, -12, -1, 0
70, 1800799, -8081, 41, -13, -24, 0, 0
71, 1800687, 11380, 43, 7, 10, 0, 1
73, 1800598, 4706, 109, -2, 3, -1, 1
75, 1800521, -7795, -31, -13, -48, 3, 0
76, 1800620, -17307, -97, -24, -12, -2, 0
77, 1800699, -5996, -68, -5, 3, 1, 0
78, 1800738, 12065, 62, 9, -4, 1, 1
79, 1800815, -4352, 17, -3, -21, -1, 0
80, 1800728, 4254, -34, -3, 7, -1, 1
81, 1800670, 10914, 94, 5, 6, 3, 1
83, 1800750, 9196, -68, 14, 13, 2, 1
84, 1800631, -9589, -94, -3, -2, -3, 0
85, 1800578, 9577, 37, 12, 17, 3, 1
86, 1800668, -7512, 48, -5, -1, -1, 0
87, 1800654, -8223, 114, -13, -24, 1, 0
88, 1800634, -6403, -70, 1, 2, -3, 0
93, 1800616, 13746, 57, 10, 15, 2, 1
97, 1800726, -12198, 10, -17, -25, -3, 0
98, 1800675, -13985, 18, -19, -48, -2, 0
104, 1800719, 7409, 94, 7, 0, 1, 1
105, 1800517, -6437, -117, -12, -2, 0, 1
106, 1800579, 1368, 164, -6, -14, -3, 0
107, 1800694, 2926, 72, 5, -7, 0, 1
108, 1800683, -7222, -5, -13, -25, -2, 0
109, 1800521, -1153, -28, -6, -21, 1, 1
110, 1800652, -2352, -102, 4, 0, -3, 0
111, 1800555, -1449, -28, -4, 1, -2, 1
112, 1800757, -2110, -30, -2, -2, 0, 1
113, 1800686, 6925, 96, 8, 34, 1, 0
114, 1800694, -8829, -69, -15, -18, -1, 0
115, 1800628, -5803, 32, -13, -33, -3, 1
116, 1800642, -7975, -104, -13, -16, -2, 0
117, 1800729, -2513, -22, 9, 11, -2, 0
118, 1800784, -7391, -68, -4, -15, -1, 0
