match, timestamp, team1Gold, team2Gold, winner
0, 0, 2500, 2500, 200
0, 0, 2500, 2500, 200
0, 60008, 2500, 2500, 200
0, 0, 2500, 2500, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 0, 2500, 2500, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 180097, 3698, 4042, 200
0, 0, 2500, 2500, 200
0, 60008, 2500, 2500, 200
0, 240103, 4717, 5603, 200
0, 120044, 2686, 2643, 200
0, 180097, 3698, 4042, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 300156, 5679, 7606, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 540193, 10170, 14867, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 120044, 2686, 2643, 200
0, 600205, 11403, 16137, 200
0, 540193, 10170, 14867, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 660220, 13528, 17675, 200
0, 120044, 2686, 2643, 200
0, 600205, 11403, 16137, 200
0, 540193, 10170, 14867, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 660220, 13528, 17675, 200
0, 720231, 14560, 19103, 200
0, 120044, 2686, 2643, 200
0, 600205, 11403, 16137, 200
0, 540193, 10170, 14867, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 660220, 13528, 17675, 200
0, 720231, 14560, 19103, 200
0, 120044, 2686, 2643, 200
0, 600205, 11403, 16137, 200
0, 540193, 10170, 14867, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 780277, 17122, 20288, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
0, 180097, 3698, 4042, 200
0, 420162, 8063, 10402, 200
0, 240103, 4717, 5603, 200
0, 60008, 2500, 2500, 200
0, 660220, 13528, 17675, 200
0, 720231, 14560, 19103, 200
0, 120044, 2686, 2643, 200
0, 600205, 11403, 16137, 200
0, 540193, 10170, 14867, 200
0, 840329, 18739, 22761, 200
0, 360161, 6806, 9032, 200
0, 300156, 5679, 7606, 200
0, 780277, 17122, 20288, 200
0, 480193, 9376, 13168, 200
0, 0, 2500, 2500, 200
